configuration,questionerType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-158.81519212470351
3_1_0.5,explicit,3,1,0.5,-160.12985791263625
3_1_0.1,pragmatic,3,1,0.1,-158.89469335062253
3_1_0.1,explicit,3,1,0.1,-160.3016370139077
3_1_1.5,pragmatic,3,1,1.5,-158.58481742881452
3_1_1.5,explicit,3,1,1.5,-159.57586978422245
3_1_2.0,pragmatic,3,1,2.0,-158.48805865709315
3_1_2.0,explicit,3,1,2.0,-159.2855316165852
3_1_2.5,pragmatic,3,1,2.5,-158.42420380039394
3_1_2.5,explicit,3,1,2.5,-159.03046366223603
3_2_0.5,pragmatic,3,2,0.5,-157.186745365001
3_2_0.5,explicit,3,2,0.5,-160.12985791263625
3_2_0.1,pragmatic,3,2,0.1,-157.2366987197618
3_2_0.1,explicit,3,2,0.1,-160.3016370139077
3_2_1.5,pragmatic,3,2,1.5,-157.097335361262
3_2_1.5,explicit,3,2,1.5,-159.57586978422245
3_2_2.0,pragmatic,3,2,2.0,-157.12914824862824
3_2_2.0,explicit,3,2,2.0,-159.2855316165852
3_2_2.5,pragmatic,3,2,2.5,-157.24344219302137
3_2_2.5,explicit,3,2,2.5,-159.03046366223603
3_3_0.5,pragmatic,3,3,0.5,-155.8198672583067
3_3_0.5,explicit,3,3,0.5,-160.12985791263625
3_3_0.1,pragmatic,3,3,0.1,-155.89152900272188
3_3_0.1,explicit,3,3,0.1,-160.3016370139077
3_3_1.5,pragmatic,3,3,1.5,-155.6386972960061
3_3_1.5,explicit,3,3,1.5,-159.57586978422245
3_3_2.0,pragmatic,3,3,2.0,-155.61847805237718
3_3_2.0,explicit,3,3,2.0,-159.2855316165852
3_3_2.5,pragmatic,3,3,2.5,-155.7133043599726
3_3_2.5,explicit,3,3,2.5,-159.03046366223603
3_4_0.5,pragmatic,3,4,0.5,-154.97853108104647
3_4_0.5,explicit,3,4,0.5,-160.12985791263625
3_4_0.1,pragmatic,3,4,0.1,-155.07157525992767
3_4_0.1,explicit,3,4,0.1,-160.3016370139077
3_4_1.5,pragmatic,3,4,1.5,-154.6743004970594
3_4_1.5,explicit,3,4,1.5,-159.57586978422245
3_4_2.0,pragmatic,3,4,2.0,-154.53271275235764
3_4_2.0,explicit,3,4,2.0,-159.2855316165852
3_4_2.5,pragmatic,3,4,2.5,-154.46539449325493
3_4_2.5,explicit,3,4,2.5,-159.03046366223603
3_5_0.5,pragmatic,3,5,0.5,-154.54634314491807
3_5_0.5,explicit,3,5,0.5,-160.12985791263625
3_5_0.1,pragmatic,3,5,0.1,-154.6446812678553
3_5_0.1,explicit,3,5,0.1,-160.3016370139077
3_5_1.5,pragmatic,3,5,1.5,-154.19003846024873
3_5_1.5,explicit,3,5,1.5,-159.57586978422245
3_5_2.0,pragmatic,3,5,2.0,-153.97343743631913
3_5_2.0,explicit,3,5,2.0,-159.2855316165852
3_5_2.5,pragmatic,3,5,2.5,-153.77337761302203
3_5_2.5,explicit,3,5,2.5,-159.03046366223603
3_6_0.5,pragmatic,3,6,0.5,-154.346685072014
3_6_0.5,explicit,3,6,0.5,-160.12985791263625
3_6_0.1,pragmatic,3,6,0.1,-154.4398309135595
3_6_0.1,explicit,3,6,0.1,-160.3016370139077
3_6_1.5,pragmatic,3,6,1.5,-153.99672607394228
3_6_1.5,explicit,3,6,1.5,-159.57586978422245
3_6_2.0,pragmatic,3,6,2.0,-153.76119101820575
3_6_2.0,explicit,3,6,2.0,-159.2855316165852
3_6_2.5,pragmatic,3,6,2.5,-153.50252692321106
3_6_2.5,explicit,3,6,2.5,-159.03046366223603
3_7_0.5,pragmatic,3,7,0.5,-154.26215318295652
3_7_0.5,explicit,3,7,0.5,-160.12985791263625
3_7_0.1,pragmatic,3,7,0.1,-154.3463425550804
3_7_0.1,explicit,3,7,0.1,-160.3016370139077
3_7_1.5,pragmatic,3,7,1.5,-153.94689041081796
3_7_1.5,explicit,3,7,1.5,-159.57586978422245
3_7_2.0,pragmatic,3,7,2.0,-153.72723893096713
