configuration,questionerType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-157.2532234681354
3_1_0.5,explicit,3,1,0.5,-158.1291622215701
3_1_0.1,pragmatic,3,1,0.1,-157.39284308119272
3_1_0.1,explicit,3,1,0.1,-158.33076847160714
3_1_1.5,pragmatic,3,1,1.5,-156.81321577622901
3_1_1.5,explicit,3,1,1.5,-157.4773259192047
3_1_2.0,pragmatic,3,1,2.0,-156.59564962750875
3_1_2.0,explicit,3,1,2.0,-157.13457480427968
3_1_2.5,pragmatic,3,1,2.5,-156.41846582807935
3_1_2.5,explicit,3,1,2.5,-156.83272927312348
3_2_0.5,pragmatic,3,2,0.5,-156.23342531011065
3_2_0.5,explicit,3,2,0.5,-158.1291622215701
3_2_0.1,pragmatic,3,2,0.1,-156.35654788276997
3_2_0.1,explicit,3,2,0.1,-158.33076847160714
3_2_1.5,pragmatic,3,2,1.5,-155.8633877544214
3_2_1.5,explicit,3,2,1.5,-157.4773259192047
3_2_2.0,pragmatic,3,2,2.0,-155.71056542569087
3_2_2.0,explicit,3,2,2.0,-157.13457480427968
3_2_2.5,pragmatic,3,2,2.5,-155.6309337372074
3_2_2.5,explicit,3,2,2.5,-156.83272927312348
3_3_0.5,pragmatic,3,3,0.5,-155.45822501098527
3_3_0.5,explicit,3,3,0.5,-158.1291622215701
3_3_0.1,pragmatic,3,3,0.1,-155.5945970512386
3_3_0.1,explicit,3,3,0.1,-158.33076847160714
3_3_1.5,pragmatic,3,3,1.5,-155.0121075689226
3_3_1.5,explicit,3,3,1.5,-157.4773259192047
3_3_2.0,pragmatic,3,3,2.0,-154.79921886002901
3_3_2.0,explicit,3,3,2.0,-157.13457480427968
3_3_2.5,pragmatic,3,3,2.5,-154.66970549193067
3_3_2.5,explicit,3,3,2.5,-156.83272927312348
3_4_0.5,pragmatic,3,4,0.5,-155.07762837579713
3_4_0.5,explicit,3,4,0.5,-158.1291622215701
3_4_0.1,pragmatic,3,4,0.1,-155.22149390469355
3_4_0.1,explicit,3,4,0.1,-158.33076847160714
3_4_1.5,pragmatic,3,4,1.5,-154.5581286378093
3_4_1.5,explicit,3,4,1.5,-157.4773259192047
